Date,1301.T,130A.T,131A.T,132A.T,1332.T,1333.T,1375.T,1376.T,1377.T,1379.T,1380.T,1381.T,1382.T,1383.T,1384.T,1401.T,1407.T,1414.T,1417.T,1418.T,1419.T,1420.T,1429.T,1430.T,1431.T,1432.T,1433.T,1434.T,1435.T,1436.T,1438.T,1443.T,1444.T,1445.T,1446.T,1447.T,1450.T,1452.T
2024-05-23,3602.94677734375,1050.0,1717.0,220.0,878.2686767578125,1039.712890625,967.530517578125,1365.4969482421875,3320.62158203125,1783.0994873046875,1017.9609375,2964.60791015625,2245.14208984375,2791.462158203125,954.0078735351562,737.6412963867188,2522.984619140625,1435.7808837890625,1793.267822265625,189.9381561279297,4137.9296875,707.9315795898438,827.0296020507812,746.3580322265625,717.6688842773438,174.0,915.5607299804688,944.0433959960938,165.781494140625,1809.2042236328125,1954.330322265625,209.8218231201172,2700.0,2900.0,582.1907348632812,295.955322265625,1056.9395751953125,18530.0
2024-05-24,3598.097412109375,1037.0,1717.0,220.0,877.8856201171875,1035.5831298828125,972.44677734375,1366.448486328125,3315.829833984375,1781.162353515625,1015.98046875,2969.276611328125,2208.8837890625,2806.363037109375,951.1458129882812,739.5875854492188,2527.57861328125,1429.232177734375,1785.1641845703125,190.83409118652344,4142.4873046875,706.9658203125,817.8301391601562,743.6039428710938,714.7154541015625,174.0,902.2779541015625,884.6345825195312,163.8311004638672,1825.1180419921875,1899.7728271484375,210.8162384033203,2703.0,2900.0,585.1261596679688,298.905029296875,1067.5089111328125,18530.0
2024-05-27,3612.64501953125,1088.0,1717.0,220.0,863.2335205078125,1036.2186279296875,966.5473022460938,1358.8360595703125,3296.6630859375,1796.6591796875,1016.970703125,3020.632080078125,2246.095947265625,2796.428955078125,953.0538330078125,740.5607299804688,2518.390625,1432.506591796875,1795.1744384765625,188.1462860107422,4201.73046875,705.0341796875,823.3497924804688,742.6859130859375,715.699951171875,174.0,901.3292236328125,840.0779418945312,161.88075256347656,1903.692626953125,1900.7470703125,210.8162384033203,2746.0,2900.0,586.1046142578125,294.9720764160156,1061.7437744140625,18530.0
2024-05-28,3607.7958984375,1162.0,1717.0,220.0,854.90185546875,1022.5591430664062,960.6476440429688,1360.7392578125,3301.454833984375,1780.19384765625,1028.853515625,3020.632080078125,2210.7919921875,2791.462158203125,960.6859130859375,738.6144409179688,2612.106689453125,1426.659423828125,1770.86376953125,189.04222106933594,4183.501953125,707.9315795898438,811.3905029296875,735.3417358398438,711.7621459960938,174.0,920.3046264648438,833.580078125,163.8311004638672,1911.6495361328125,1899.7728271484375,210.8162384033203,2755.0,2900.0,587.0831298828125,300.87152099609375,1065.1068115234375,18530.0
2024-05-29,3593.248291015625,1161.0,1717.0,220.0,833.5460815429688,1008.2642211914062,948.8485107421875,1349.3204345703125,3205.621826171875,1764.697021484375,1017.9609375,3001.957275390625,2225.1044921875,2790.46875,946.3757934570312,728.883056640625,2428.349365234375,1396.4891357421875,1778.4906005859375,189.9381561279297,4119.701171875,702.1367797851562,797.5913696289062,716.9811401367188,705.8554077148438,174.0,897.5341796875,798.30615234375,157.97999572753906,1914.63330078125,1899.7728271484375,210.8162384033203,2750.0,2900.0,585.1261596679688,290.0558776855469,1072.7935791015625,18530.0
2024-05-30,3612.64501953125,1108.0,1717.0,220.0,831.5349731445312,1021.6060180664062,951.7982177734375,1346.4207763671875,3244.418701171875,1778.2567138671875,1023.90234375,2978.61376953125,2261.362548828125,2799.409423828125,954.0078735351562,719.0465698242188,2419.16162109375,1389.7066650390625,1795.651123046875,191.7300262451172,3877.0859375,702.1367797851562,787.4719848632812,738.0125732421875,706.8397216796875,174.0,895.6366577148438,766.7451782226562,158.9552001953125,1898.719482421875,1899.7728271484375,210.8162384033203,2756.0,2900.0,589.0400390625,298.905029296875,1058.8612060546875,18530.0
2024-05-31,3661.136962890625,1152.0,1717.0,220.0,844.2717895507812,1038.124755859375,951.7982177734375,1365.7518310546875,3273.516845703125,1762.760009765625,1022.912109375,2959.939208984375,2248.95849609375,2795.435791015625,955.9158935546875,720.0302124023438,2587.29931640625,1385.029052734375,1819.0084228515625,190.83409118652344,3986.50048828125,706.9658203125,800.3511962890625,728.4528198242188,709.793212890625,174.0,914.6119384765625,797.3778686523438,160.9055633544922,1943.4771728515625,1919.2576904296875,210.8162384033203,2776.0,2900.0,593.9324340820312,298.905029296875,1070.8719482421875,18530.0
2024-06-03,3704.779541015625,1110.0,1717.0,220.0,850.2092895507812,1044.4779052734375,945.8987426757812,1367.68505859375,3258.9677734375,1771.4769287109375,1028.853515625,2959.939208984375,2222.2421875,2853.052978515625,950.1918334960938,714.1282958984375,2626.80712890625,1382.9241943359375,1862.38623046875,192.6259765625,3805.728515625,709.8632202148438,810.4705810546875,727.496826171875,711.7621459960938,174.0,907.0218505859375,814.0866088867188,164.8063201904297,1954.41796875,1885.1590576171875,210.8162384033203,2785.0,2900.0,600.7816772460938,299.8882751464844,1068.9501953125,18530.0
2024-06-04,3724.176513671875,1159.0,1717.0,220.0,847.0490112304688,1040.34814453125,953.7648315429688,1365.7518310546875,3249.2685546875,1782.130859375,1031.82421875,2959.939208984375,2196.479736328125,2904.7099609375,955.9158935546875,710.1937255859375,2644.26416015625,1379.8836669921875,1866.67626953125,193.5218963623047,3767.671142578125,710.8289794921875,818.7500610351562,731.3207397460938,718.6533203125,174.0,903.2267456054688,826.154052734375,174.5581512451172,1945.4664306640625,1886.1334228515625,210.8162384033203,2785.0,2900.0,601.7601928710938,307.75421142578125,1080.0,18530.0
2024-06-05,3733.874755859375,1184.0,1717.0,220.0,838.0469970703125,1024.465087890625,949.831787109375,1357.0528564453125,3244.418701171875,1785.03662109375,1030.833984375,2950.601806640625,2233.69189453125,2919.611083984375,948.2838134765625,708.2264404296875,2679.17822265625,1370.0609130859375,1867.153076171875,192.6259765625,3743.88525390625,714.6921997070312,798.5112915039062,733.232666015625,719.6377563476562,174.0,906.0730590820312,795.5213012695312,172.6077880859375,1909.6602783203125,1885.1590576171875,209.8218231201172,2792.0,2900.0,601.7601928710938,305.7877197265625,1076.1566162109375,18530.0
